left_digit,right_digit,layer,cosine,sign_conflict,weighted_conflict
0,1,net.0.weight,-0.04324329122210765,0.432861328125,0.5252627749026496
0,1,net.0.bias,-0.005470390904964916,0.5234375,0.503078555120714
0,1,net.1.weight,0.14971390893584074,0.4296875,0.39870828983815587
0,1,net.1.bias,-0.027795600493975184,0.484375,0.5177657456972173
0,1,net.3.weight,0.023867534585941305,0.49365234375,0.484206128475211
0,1,net.3.bias,0.09677507439380016,0.453125,0.44663174016782803
0,1,net.4.weight,0.09198197288463959,0.5,0.42122359411614824
0,1,net.4.bias,-0.11369050692683598,0.515625,0.5802096479853429
0,1,net.6.weight,0.3957953302070478,0.20000000298023224,0.2070324086782879
0,1,net.6.bias,0.5505729809951357,0.20000000298023224,0.21865842905974453
0,2,net.0.weight,-0.04404830837971662,0.429931640625,0.526209871922205
0,2,net.0.bias,-0.06962481822392062,0.546875,0.5396033743931888
0,2,net.1.weight,0.1996114985643067,0.390625,0.3462426087412757
0,2,net.1.bias,-0.0046404994068338845,0.515625,0.5032569797174803
0,2,net.3.weight,0.012533096084393042,0.4986572265625,0.4910593195645511
0,2,net.3.bias,-0.0007852737929614068,0.5,0.5004484221672185
0,2,net.4.weight,-0.030659710441340263,0.5,0.5278518582069968
0,2,net.4.bias,-0.0512962737373976,0.5,0.5364456409626817
0,2,net.6.weight,0.39844311837891816,0.20624999701976776,0.19597259001318204
0,2,net.6.bias,0.585859505172163,0.20000000298023224,0.2005223734037706
0,3,net.0.weight,0.10435540546461827,0.3387451171875,0.43996961528830053
0,3,net.0.bias,0.2170982092130481,0.375,0.37954024599376834
0,3,net.1.weight,0.28948653853086037,0.2890625,0.27194580881674524
0,3,net.1.bias,0.14143327335123151,0.3984375,0.4051502498686421
0,3,net.3.weight,0.08109354912698517,0.4715576171875,0.4441679859842788
0,3,net.3.bias,-0.12027373665243461,0.46875,0.5684025117376815
0,3,net.4.weight,0.08440184001820285,0.5,0.436686174503205
0,3,net.4.bias,-0.048507523759670566,0.53125,0.5316522584949244
0,3,net.6.weight,0.4318714046434272,0.20000000298023224,0.21532807486916566
0,3,net.6.bias,0.4970282530128535,0.20000000298023224,0.24615363562905607
0,4,net.0.weight,0.016277764345418107,0.4212646484375,0.4897533384708697
0,4,net.0.bias,-0.05784032136831797,0.515625,0.5322805666696837
0,4,net.1.weight,0.13717677486952295,0.34375,0.39982505376912836
0,4,net.1.bias,0.013633217301476638,0.46875,0.4899621682679782
0,4,net.3.weight,-0.016092358138024225,0.51513671875,0.5115440870139422
0,4,net.3.bias,-0.05489852436459122,0.546875,0.5324787963620604
0,4,net.4.weight,-0.048962681586937,0.5,0.5466530981964859
