alpha,beta,task_a_loss,task_b_loss,task_a_acc,task_b_acc,avg_loss,worst_loss,avg_acc,worst_acc
-0.25,-0.25,0.4442005157470703,0.5104923248291016,0.9444444444444444,0.9217877094972067,0.47734642028808594,0.5104923248291016,0.9331160769708255,0.9217877094972067
-0.25,-0.2125,0.454407352871365,0.45029127664406204,0.9388888888888889,0.9273743016759777,0.45234931475771356,0.454407352871365,0.9331315952824333,0.9273743016759777
-0.25,-0.175,0.46759757995605467,0.3960475282296122,0.9388888888888889,0.9329608938547486,0.43182255409283343,0.46759757995605467,0.9359248913718188,0.9329608938547486
-0.25,-0.1375,0.4842622439066569,0.3472837735820749,0.9222222222222223,0.9329608938547486,0.4157730087443659,0.4842622439066569,0.9275915580384855,0.9222222222222223
-0.25,-0.1,0.5050517188178169,0.30395946822352915,0.9,0.9385474860335196,0.404505593520673,0.5050517188178169,0.9192737430167598,0.9
-0.25,-0.0625,0.5303998629252116,0.2658360870190839,0.8833333333333333,0.9553072625698324,0.39811797497214774,0.5303998629252116,0.9193202979515829,0.8833333333333333
-0.25,-0.025000000000000022,0.5610952695210775,0.23281153353898884,0.8722222222222222,0.9664804469273743,0.39695340153003317,0.5610952695210775,0.9193513345747983,0.8722222222222222
-0.25,0.012500000000000011,0.5980285432603624,0.2044314805355818,0.8611111111111112,0.9664804469273743,0.4012300118979721,0.5980285432603624,0.9137957790192428,0.8611111111111112
-0.25,0.04999999999999999,0.6422599368625217,0.18033820956778926,0.8444444444444444,0.9664804469273743,0.41129907321515546,0.6422599368625217,0.9054624456859094,0.8444444444444444
-0.25,0.08749999999999997,0.6951352649264866,0.16002682733802157,0.8222222222222222,0.9664804469273743,0.42758104613225406,0.6951352649264866,0.8943513345747982,0.8222222222222222
-0.25,0.125,0.7584533055623373,0.14308722725127662,0.8111111111111111,0.9664804469273743,0.45077026640680695,0.7584533055623373,0.8887957790192427,0.8111111111111111
-0.25,0.16249999999999998,0.8339840783013238,0.12913564330372732,0.7777777777777778,0.9664804469273743,0.48155986080252555,0.8339840783013238,0.8721291123525761,0.7777777777777778
-0.25,0.19999999999999996,0.9240027109781901,0.11776036523573892,0.7277777777777777,0.9664804469273743,0.5208815381069645,0.9240027109781901,0.847129112352576,0.7277777777777777
-0.25,0.2375,1.0306513256496854,0.10854713876820143,0.6833333333333333,0.9608938547486033,0.5695992322089434,1.0306513256496854,0.8221135940409683,0.6833333333333333
-0.25,0.275,1.1565053939819336,0.10108655524653429,0.6333333333333333,0.9608938547486033,0.628795974614234,1.1565053939819336,0.7971135940409684,0.6333333333333333
-0.25,0.3125,1.3040277481079101,0.09500518724239072,0.5666666666666667,0.9664804469273743,0.6995164676751504,1.3040277481079101,0.7665735567970204,0.5666666666666667
-0.25,0.35,1.4759016248914931,0.09016721608252498,0.49444444444444446,0.9720670391061452,0.783034420487009,1.4759016248914931,0.7332557417752948,0.49444444444444446
-0.25,0.38749999999999996,1.6731243133544922,0.08645931435696906,0.4166666666666667,0.9664804469273743,0.8797918138557306,1.6731243133544922,0.6915735567970205,0.4166666666666667
-0.25,0.42499999999999993,1.8974091000027127,0.08335660156590978,0.32222222222222224,0.9664804469273743,0.9903828507843112,1.8974091000027127,0.6443513345747983,0.32222222222222224
-0.25,0.4625,2.1497520446777343,0.08083322194701466,0.2722222222222222,0.9664804469273743,1.1152926333123745,2.1497520446777343,0.6193513345747983,0.2722222222222222
-0.25,0.5,2.4301659054226343,0.07881101416475945,0.2,0.9664804469273743,1.254488459793697,2.4301659054226343,0.5832402234636872,0.2
-0.25,0.5375,2.7378820207383896,0.0772851725530358,0.15,0.9664804469273743,1.4075835966457126,2.7378820207383896,0.5582402234636872,0.15
-0.25,0.575,3.071327548556858,0.07605876602940054,0.1,0.9664804469273743,1.5736931572931292,3.071327548556858,0.5332402234636872,0.1
-0.25,0.6124999999999999,3.4283265855577256,0.0750682207459178,0.07222222222222222,0.9720670391061452,1.7516974031518218,3.4283265855577256,0.5221446306641837,0.07222222222222222
-0.25,0.6499999999999999,3.8056837293836807,0.07414295420300361,0.03888888888888889,0.9720670391061452,1.939913341793342,3.8056837293836807,0.5054779639975171,0.03888888888888889
-0.25,0.6875,4.200499725341797,0.07326356259138224,0.027777777777777776,0.9720670391061452,2.1368816439665896,4.200499725341797,0.4999224084419615,0.027777777777777776
-0.25,0.725,4.609926266140408,0.07251184879068556,0.011111111111111112,0.9720670391061452,2.3412190574655467,4.609926266140408,0.49158907510862815,0.011111111111111112
-0.25,0.7625,5.031975809733073,0.07199981891909125,0.005555555555555556,0.9720670391061452,2.551987814326082,5.031975809733073,0.4888112973308504,0.005555555555555556
-0.25,0.8,5.463780381944445,0.07178463216600471,0.0,0.9720670391061452,2.767782507055225,5.463780381944445,0.4860335195530726,0.0
-0.25,0.8374999999999999,5.903075154622396,0.07186917885721729,0.0,0.9720670391061452,2.9874721667398068,5.903075154622396,0.4860335195530726,0.0
-0.25,0.875,6.3473325941297745,0.07231266405329358,0.0,0.9720670391061452,3.209822629091534,6.3473325941297745,0.4860335195530726,0.0
-0.25,0.9124999999999999,6.793563673231337,0.07314843971636042,0.0,0.9776536312849162,3.4333560564738486,6.793563673231337,0.4888268156424581,0.0
-0.25,0.95,7.240189446343316,0.07417246482891743,0.0,0.9776536312849162,3.6571809555861168,7.240189446343316,0.4888268156424581,0.0
-0.25,0.9875,7.685098436143663,0.07546203762459355,0.0,0.9776536312849162,3.8802802368841283,7.685098436143663,0.4888268156424581,0.0
-0.25,1.025,8.13017578125,0.07681694243873298,0.0,0.9776536312849162,4.103496361844366,8.13017578125,0.4888268156424581,0.0
-0.25,1.0625,8.571831427680122,0.07822089221890412,0.0,0.9776536312849162,4.3250261599495134,8.571831427680122,0.4888268156424581,0.0
-0.25,1.0999999999999999,9.01096700032552,0.07995179778370777,0.0,0.9776536312849162,4.5454593990546135,9.01096700032552,0.4888268156424581,0.0
-0.25,1.1375,9.447596740722656,0.08188226635895628,0.0,0.9776536312849162,4.764739503540806,9.447596740722656,0.4888268156424581,0.0
-0.25,1.175,9.88080088297526,0.08367930044675007,0.0,0.9776536312849162,4.982240091711005,9.88080088297526,0.4888268156424581,0.0
-0.25,1.2125,10.308304511176216,0.08546589473106342,0.0,0.9776536312849162,5.19688520295364,10.308304511176216,0.4888268156424581,0.0
-0.25,1.25,10.73112080891927,0.08748892032900336,0.0,0.9776536312849162,5.409304864624136,10.73112080891927,0.4888268156424581,0.0
-0.2125,-0.25,0.39684482150607636,0.5214006114938405,0.9444444444444444,0.9217877094972067,0.45912271649995845,0.5214006114938405,0.9331160769708255,0.9217877094972067
-0.2125,-0.2125,0.40523431566026474,0.4590431298623538,0.9444444444444444,0.9217877094972067,0.43213872276130927,0.4590431298623538,0.9331160769708255,0.9217877094972067
-0.2125,-0.175,0.4162809265984429,0.40280195055061213,0.9388888888888889,0.9273743016759777,0.4095414385745275,0.4162809265984429,0.9331315952824333,0.9273743016759777
-0.2125,-0.1375,0.4305566151936849,0.3523255566644935,0.9388888888888889,0.9329608938547486,0.3914410859290892,0.4305566151936849,0.9359248913718188,0.9329608938547486
