layer,numel,cosine,sign_conflict,weighted_conflict,tau_a_norm,tau_b_norm
net.0.weight,8192,-0.003775367384804939,0.4814453125,0.5034837213775961,1.8388876914978027,2.322786569595337
net.0.bias,128,0.350966618755431,0.4453125,0.2449346679995497,0.07878197729587555,0.07680083811283112
net.1.weight,128,0.0020818731714638368,0.515625,0.49829846219454205,0.2594722807407379,0.28980445861816406
net.1.bias,128,0.29585976519587404,0.2578125,0.20600359989121245,0.18042141199111938,0.17208199203014374
net.3.weight,8192,-0.043700334876114445,0.5377197265625,0.5415907952724404,2.377145528793335,2.9332311153411865
net.3.bias,64,0.08105601752974166,0.421875,0.41933783240095857,0.04816529527306557,0.040507327765226364
net.4.weight,64,0.5958433388530059,0.1875,0.024078308839185634,1.4462518692016602,1.322119116783142
net.4.bias,64,0.7605773978339812,0.1875,0.05123946974268947,0.7696655988693237,0.7797170877456665
net.6.weight,640,0.25964050013894807,0.37968748807907104,0.32373826261645594,2.5456185340881348,2.2835171222686768
net.6.bias,10,-0.8006086777263901,1.0,1.0,0.20708315074443817,0.20548929274082184
