layer,router,boundary_fragility_score,safe_lambda_proxy,unsafe_fraction,mean_topk_jaccard,mean_top1_agreement,mean_top1_margin,router_relative_delta_norm,fragility_rank,router_margin_action,layer_id,route_mass,weighted_router_instability_feature,weighted_scale_shrink,router_coupled_risk_sum,route_mass_weighted_router_residual_pressure,top_expert_id,low_margin_capacity_score,coupled_risk_score,route_mass_score,harc_priority_score,harc_layer_role,required_harc_statistics
17,model.layers.17.mlp.gate,0.7522782693160674,0.0261472695616825,1.0,0.3949476748034603,0.3775229603052139,0.029752030968666,0.844351985029753,1,freeze_router_prioritize_calibration,17,11.999999999999975,0.8117491346958771,0.0218994142891936,6.380211258764486,0.0675194689899757,83,0.4770546087663501,0.9663302968953685,0.0,0.7379048037035392,collect_hessian_covariance_first,"softmax_hessian_diag_offdiag,input_hidden_covariance,topk_assignment_overlap"
18,model.layers.18.mlp.gate,0.7267264234701402,0.0391078749531843,1.0,0.3840435971768267,0.3528055883944034,0.0401512018094459,0.8691613579397345,2,freeze_router_prioritize_calibration,18,11.99999999999998,0.8973962096945233,0.020176958389574,6.3294732430507015,0.0054829571919122,8,0.21784250093631397,0.9576739406600168,0.0,0.673677554740323,collect_hessian_covariance_first,"softmax_hessian_diag_offdiag,input_hidden_covariance,topk_assignment_overlap"
12,model.layers.12.mlp.gate,0.7180486088801276,0.0337791466524588,1.0,0.4167103276438216,0.3455754021803538,0.0374290238445003,0.8234877317206551,3,freeze_router_prioritize_calibration,12,11.999999999999975,0.790471981734179,0.0204624822199616,5.882888628528569,0.034483037844754,56,0.32441706695082406,0.8814826379820028,0.0,0.6724735164377165,collect_hessian_covariance_first,"softmax_hessian_diag_offdiag,input_hidden_covariance,topk_assignment_overlap"
20,model.layers.20.mlp.gate,0.7157207652220607,0.0439002163192812,1.0,0.4014950098885486,0.3222217032064994,0.0397130449612935,0.8088729639662686,4,freeze_router_prioritize_calibration,20,11.999999999999975,0.958197111028254,0.0205086458944487,6.577561492367927,0.0,38,0.12199567361437613,1.0,0.0,0.6606874408116996,collect_hessian_covariance_first,"softmax_hessian_diag_offdiag,input_hidden_covariance,topk_assignment_overlap"
15,model.layers.15.mlp.gate,0.7040261505411557,0.043752579922969,1.0,0.4059805042993012,0.334207896143198,0.0425664621094862,0.8246392779696452,7,freeze_router_prioritize_calibration,15,11.99999999999998,0.8982509547508291,0.0220665626393368,6.3322973416826445,0.0,10,0.12494840154062004,0.9581557569758098,0.0,0.6461390797685387,collect_hessian_covariance_first,"softmax_hessian_diag_offdiag,input_hidden_covariance,topk_assignment_overlap"
13,model.layers.13.mlp.gate,0.7121989834961976,0.0383809671425183,1.0,0.4240443219484848,0.355269360045592,0.0397526615609724,0.8552697694255701,6,freeze_router_prioritize_calibration,13,11.999999999999972,0.7728592675927292,0.0209053295564802,5.747096779754064,0.0379786856554455,104,0.23238065714963407,0.8583153422115107,0.0,0.6459345603812835,collect_hessian_covariance_first,"softmax_hessian_diag_offdiag,input_hidden_covariance,topk_assignment_overlap"
11,model.layers.11.mlp.gate,0.7150612239054778,0.0351509541706301,1.0,0.425886853671104,0.3456275115410487,0.0372062097303568,0.8190916285127567,5,freeze_router_prioritize_calibration,11,11.999999999999972,0.6853191602072622,0.0211905890158421,5.343205173089895,0.0811764283077828,21,0.2969809165873981,0.789407845957105,0.0,0.6427726343689469,collect_hessian_covariance_first,"softmax_hessian_diag_offdiag,input_hidden_covariance,topk_assignment_overlap"
24,model.layers.24.mlp.gate,0.6789523527185288,0.0392231643279266,1.0,0.3559330332305426,0.2938347235321998,0.0503493143866459,0.7477831465589972,12,freeze_router_prioritize_calibration,24,11.999999999999975,0.9099099082590626,0.0208280628728197,6.014372122107408,0.0,65,0.21553671344146808,0.9039148900808522,0.0,0.6406670062959182,collect_hessian_covariance_first,"softmax_hessian_diag_offdiag,input_hidden_covariance,topk_assignment_overlap"
19,model.layers.19.mlp.gate,0.6910587222117991,0.0435500875772565,1.0,0.3891517712641179,0.342228668431441,0.0466374816993871,0.825168190782946,9,freeze_router_prioritize_calibration,19,11.99999999999998,0.9365491605559764,0.0188388111356801,6.167694700812252,0.0,109,0.12899824845487007,0.9300730841197906,0.0,0.6347414096056413,collect_hessian_covariance_first,"softmax_hessian_diag_offdiag,input_hidden_covariance,topk_assignment_overlap"
29,model.layers.29.mlp.gate,0.6909916965645019,0.0396018799605637,1.0,0.4360013445528594,0.3032418626050154,0.0288947431060174,0.5621192438365952,10,freeze_router_prioritize_calibration,29,11.999999999999972,0.8048417441917518,0.0213786583796196,5.668819379192244,0.0033496461909191,83,0.20796240078872608,0.8449605222622485,0.0,0.629229289349108,collect_hessian_covariance_first,"softmax_hessian_diag_offdiag,input_hidden_covariance,topk_assignment_overlap"
